epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.61282,0.96648,2.3512,1.28571,0.58304,0.85,0.87795,0.63386,1.64389,1.02867,1.37267,0,0,0
2,5.73704,1.25045,3.26545,1.64516,0.58915,0.85,0.84889,0.63049,1.67336,1.02001,1.38637,1.17822e-06,1.17822e-06,1.17822e-06
3,5.85891,1.35289,3.64007,1.61419,0.59039,0.85,0.8539,0.63385,1.69006,1.01516,1.39117,2.33288e-06,2.33288e-06,2.33288e-06
4,6.00181,1.02688,2.75339,1.27597,0.57906,0.85,0.85424,0.63554,1.68526,1.01161,1.38012,3.46397e-06,3.46397e-06,3.46397e-06
5,6.16503,1.33215,2.97476,1.62261,0.61743,0.92638,0.90685,0.64045,1.69492,1.01584,1.38199,4.5715e-06,4.5715e-06,4.5715e-06
6,6.34063,0.94796,2.27079,1.21855,0.56229,0.85,0.85658,0.63605,1.66846,1.0181,1.36533,5.65548e-06,5.65548e-06,5.65548e-06
7,6.50438,1.40545,3.84506,1.75173,0.55585,0.85108,0.85944,0.62909,1.68244,1.02159,1.37064,6.71588e-06,6.71588e-06,6.71588e-06
8,6.66524,1.44032,3.96906,1.81143,0.56535,0.85538,0.86114,0.62935,1.70372,1.03915,1.38139,7.75273e-06,7.75273e-06,7.75273e-06
9,6.82825,1.36946,2.86948,1.47871,0.55929,0.86568,0.86,0.62908,1.70132,1.0517,1.37555,8.76602e-06,8.76602e-06,8.76602e-06
10,6.98974,1.30266,2.48079,1.62803,0.56121,0.86584,0.85881,0.62847,1.68991,1.04713,1.36964,9.75574e-06,9.75574e-06,9.75574e-06
11,7.15328,1.1361,1.78809,1.38255,0.58101,0.85797,0.85395,0.62282,1.70184,1.04804,1.37588,1.07219e-05,1.07219e-05,1.07219e-05
12,7.31841,1.33223,2.75707,1.52947,0.56738,0.86508,0.85564,0.63203,1.69518,1.05554,1.36979,1.16645e-05,1.16645e-05,1.16645e-05
13,7.61059,1.01954,2.54297,1.37119,0.59254,0.86667,0.89491,0.64123,1.69513,1.06924,1.3689,1.25835e-05,1.25835e-05,1.25835e-05
14,7.76907,1.22012,2.14406,1.52694,0.59163,0.86667,0.88719,0.64189,1.68915,1.07009,1.36818,1.3479e-05,1.3479e-05,1.3479e-05
15,7.92913,1.22573,2.84306,1.51219,0.58945,0.86667,0.8874,0.64204,1.67808,1.06907,1.3618,1.43509e-05,1.43509e-05,1.43509e-05
16,8.08952,1.03349,2.13735,1.39153,0.57001,0.86667,0.89458,0.64527,1.69134,1.07976,1.36442,1.51993e-05,1.51993e-05,1.51993e-05
17,8.26631,1.06669,2.7379,1.38471,0.59235,0.86667,0.89621,0.64578,1.69264,1.07939,1.36468,1.60241e-05,1.60241e-05,1.60241e-05
18,8.4329,0.88901,2.40218,1.31726,0.59235,0.86667,0.89621,0.64578,1.69264,1.07939,1.36468,1.68253e-05,1.68253e-05,1.68253e-05
19,8.60753,1.02644,1.80312,1.50436,0.59431,0.86667,0.88093,0.61732,1.70905,1.10803,1.36938,1.7603e-05,1.7603e-05,1.7603e-05
20,8.76371,1.19238,2.52953,1.57054,0.59431,0.86667,0.88093,0.61732,1.70905,1.10803,1.36938,1.83571e-05,1.83571e-05,1.83571e-05
21,8.92933,1.05191,2.37762,1.46793,0.60008,0.86667,0.85658,0.61472,1.71537,1.12997,1.37524,1.90876e-05,1.90876e-05,1.90876e-05
22,9.08785,0.98203,2.50533,1.3438,0.60008,0.86667,0.85658,0.61472,1.71537,1.12997,1.37524,1.97946e-05,1.97946e-05,1.97946e-05
23,9.25393,0.94126,2.00192,1.50036,0.60879,0.86667,0.89447,0.61343,1.70315,1.16196,1.36922,2.0478e-05,2.0478e-05,2.0478e-05
24,9.50886,0.75331,1.41269,1.19652,0.60879,0.86667,0.89447,0.61343,1.70315,1.16196,1.36922,2.11379e-05,2.11379e-05,2.11379e-05
25,9.66924,0.68643,1.5634,1.08834,0.61915,0.86667,0.89027,0.6216,1.67392,1.16634,1.36415,2.17741e-05,2.17741e-05,2.17741e-05
26,9.82346,1.1654,1.82257,1.39631,0.61915,0.86667,0.89027,0.6216,1.67392,1.16634,1.36415,2.23869e-05,2.23869e-05,2.23869e-05
27,9.98673,0.92852,1.53961,1.26065,0.63815,0.86667,0.88823,0.61508,1.66145,1.18345,1.36282,2.2976e-05,2.2976e-05,2.2976e-05
28,10.1409,0.98472,1.39301,1.24074,0.63815,0.86667,0.88823,0.61508,1.66145,1.18345,1.36282,2.35417e-05,2.35417e-05,2.35417e-05
29,10.3002,1.15491,1.80105,1.56812,0.6511,0.86667,0.88285,0.60377,1.6709,1.22523,1.37126,2.40837e-05,2.40837e-05,2.40837e-05
30,10.452,0.75156,1.74564,1.38443,0.6511,0.86667,0.88285,0.60377,1.6709,1.22523,1.37126,2.46022e-05,2.46022e-05,2.46022e-05
31,10.6161,1.23099,1.61758,1.62751,0.65732,0.86584,0.87023,0.62092,1.67855,1.25415,1.37538,2.50971e-05,2.50971e-05,2.50971e-05
32,10.767,0.87269,2.25055,1.37524,0.65732,0.86584,0.87023,0.62092,1.67855,1.25415,1.37538,2.55685e-05,2.55685e-05,2.55685e-05
33,10.932,0.82034,1.21156,1.23924,0.67494,0.69524,0.86581,0.61041,1.66846,1.3151,1.37402,2.60163e-05,2.60163e-05,2.60163e-05
34,11.0848,1.33554,1.59542,1.56096,0.67494,0.69524,0.86581,0.61041,1.66846,1.3151,1.37402,2.64405e-05,2.64405e-05,2.64405e-05
35,11.3545,0.75555,1.15996,1.09439,0.67223,0.68333,0.85823,0.62018,1.66833,1.34894,1.37844,2.68412e-05,2.68412e-05,2.68412e-05
36,11.5088,0.75923,1.67148,1.22081,0.67223,0.68333,0.85823,0.62018,1.66833,1.34894,1.37844,2.72183e-05,2.72183e-05,2.72183e-05
37,11.6704,1.14704,1.67194,1.65892,0.67119,0.6913,0.85619,0.60991,1.66307,1.41074,1.37169,2.75718e-05,2.75718e-05,2.75718e-05
38,11.8219,0.81169,1.42445,1.13177,0.67119,0.6913,0.85619,0.60991,1.66307,1.41074,1.37169,2.79018e-05,2.79018e-05,2.79018e-05
39,11.9822,0.55555,0.96292,0.96907,0.66369,0.69704,0.84846,0.60732,1.65396,1.48656,1.37036,2.82082e-05,2.82082e-05,2.82082e-05
