step,time,base_pos_x,base_pos_y,base_pos_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11
0,0.0,-0.000611593946814537,-0.0005314813461154699,0.5990526676177979,0.9999924302101135,-0.003722446272149682,0.00024196958111133426,0.0011980580165982246,0.0016660586697980762,0.014486371539533138,0.011139778420329094,0.03439498692750931,0.34734418988227844,-0.38070574402809143,0.3775588572025299,-0.38817957043647766,-0.5242086052894592,0.6061134934425354,-0.642628014087677,0.6698890328407288,-0.6850746273994446,0.5062571167945862,1.4782218933105469,3.573570728302002,-2.999781608581543,-0.11373917758464813,-0.3194601237773895,-0.6300919055938721,5.654675006866455,1.4477291107177734,-3.6823620796203613,5.306978225708008
1,0.02,-0.002175498753786087,-0.0015827221795916557,0.5947830080986023,0.999961256980896,-0.007577189244329929,0.0011037015356123447,0.004372683819383383,-0.020424850285053253,0.014217725954949856,0.044962141662836075,0.12217672914266586,0.2875511050224304,-0.3860284984111786,0.3724803328514099,-0.40151697397232056,-0.5221377611160278,0.5942262411117554,-0.6780136823654175,0.6351271867752075,-0.8905076384544373,-1.3080681562423706,0.9616271257400513,2.6543378829956055,-0.7418230175971985,0.5895802974700928,-0.3844614326953888,-0.7713042497634888,0.743665337562561,-6.646204471588135,4.392645359039307,8.20669174194336
2,0.04,-0.004279894754290581,-0.003329599741846323,0.592204213142395,0.9999784827232361,0.003887588158249855,-0.0028697666712105274,0.004449302796274424,-0.04023865610361099,-0.039256155490875244,0.0852985829114914,0.11584547162055969,0.2922701835632324,-0.37989336252212524,0.38521820306777954,-0.4278935194015503,-0.5245887637138367,0.6685184836387634,-0.7594834566116333,0.7056241035461426,-0.549738347530365,-2.455108642578125,3.1618781089782715,-0.5502225756645203,0.6041781306266785,0.5770250558853149,0.6360253691673279,-1.3849326372146606,-0.47329166531562805,3.492461681365967,-2.3190791606903076,2.9435439109802246
3,0.06,-0.007122676819562912,-0.006347102578729391,0.5915764570236206,0.9999631643295288,0.0034156464971601963,-0.006507369689643383,0.004430742934346199,-0.03371520712971687,-0.07557369768619537,0.1766064465045929,0.12257308512926102,0.27490097284317017,-0.3734446167945862,0.4028373956680298,-0.43947622179985046,-0.4895973801612854,0.7260307669639587,-0.815762996673584,0.7318650484085083,0.35675981640815735,-2.215282440185547,4.737161636352539,0.3645491898059845,0.04100453853607178,-0.08311185240745544,1.282925009727478,-0.7888931035995483,-0.09251511096954346,5.666659832000732,-5.702305316925049,1.5906410217285156
4,0.08,-0.01099267229437828,-0.00957732368260622,0.59071946144104,0.9999262690544128,0.005439105909317732,-0.008876161649823189,0.006250226870179176,-0.034237299114465714,-0.1218528300523758,0.24925613403320312,0.12744520604610443,0.25839853286743164,-0.38781678676605225,0.4311211407184601,-0.4559992551803589,-0.46649765968322754,0.787321925163269,-0.8746430277824402,0.7614654898643494,-0.3124772608280182,-2.3487203121185303,2.854306697845459,-0.00752856582403183,-0.25218644738197327,-0.8991023302078247,1.5869940519332886,-1.010926365852356,0.13571974635124207,0.5601213574409485,-2.477996349334717,1.8149917125701904
5,0.1,-0.015888653695583344,-0.013098902069032192,0.588599443435669,0.9998376369476318,0.010064409114420414,-0.010528859682381153,0.010618380270898342,-0.04350152239203453,-0.15209078788757324,0.2939860224723816,0.13160379230976105,0.24414926767349243,-0.4155592620372772,0.46140244603157043,-0.47952383756637573,-0.4568967819213867,0.79728102684021,-0.9029492139816284,0.8015135526657104,-0.5629123449325562,-1.035514235496521,1.89555025100708,0.26001784205436707,-0.4466489553451538,-1.3928487300872803,1.2970589399337769,-1.2852857112884521,-0.5534852743148804,-0.9080857634544373,0.3749401271343231,2.183485269546509
6,0.12,-0.021786674857139587,-0.017294511198997498,0.5858274102210999,0.9997004866600037,0.013699779286980629,-0.012246888130903244,0.016163572669029236,-0.052222248166799545,-0.16032682359218597,0.3297010660171509,0.14089694619178772,0.22825221717357635,-0.44360724091529846,0.4781193435192108,-0.5060900449752808,-0.45104801654815674,0.7772212028503418,-0.8933402299880981,0.8454419374465942,-0.4274790287017822,-0.2844810485839844,1.6710999011993408,0.48039376735687256,-0.34615999460220337,-1.3193411827087402,0.47515901923179626,-1.4517273902893066,-0.33591389656066895,-0.49112850427627563,1.1919944286346436,2.375534772872925
7,0.14,-0.02846464142203331,-0.022171825170516968,0.5828155279159546,0.9995308518409729,0.016580503433942795,-0.013695891946554184,0.02180597558617592,-0.059187740087509155,-0.15286658704280853,0.35991573333740234,0.1531294733285904,0.2112174928188324,-0.4666230380535126,0.4749438464641571,-0.5339734554290771,-0.446903795003891,0.79398512840271,-0.8607639670372009,0.8876108527183533,-0.41783079504966736,0.39597877860069275,1.225000023841858,0.518671989440918,-0.5897760391235352,-1.0569734573364258,-0.51802659034729,-1.525791049003601,-0.22564522922039032,0.5568135380744934,1.7497057914733887,2.162896156311035
8,0.16,-0.03551080822944641,-0.027417106553912163,0.5797162055969238,0.9993302822113037,0.019938142970204353,-0.013369127176702023,0.027621068060398102,-0.06718859076499939,-0.14275076985359192,0.37625572085380554,0.16485726833343506,0.19490022957324982,-0.4878489673137665,0.4539080858230591,-0.5621967315673828,-0.45224863290786743,0.7988966107368469,-0.8200521469116211,0.921840250492096,-0.3723684847354889,0.5268906354904175,0.5627819299697876,0.622582733631134,-0.5352479219436646,-1.0730993747711182,-1.3254839181900024,-1.5257010459899902,-0.8072394728660583,0.11672650277614594,2.234626054763794,1.708351969718933
9,0.18,-0.04270403832197189,-0.03280064836144447,0.5763149857521057,0.999150812625885,0.020385293290019035,-0.011742699891328812,0.03382761403918266,-0.07042121142148972,-0.12672662734985352,0.38186705112457275,0.18267123401165009,0.18355514109134674,-0.5108484029769897,0.4345116913318634,-0.5888763070106506,-0.4737386703491211,0.8009678721427917,-0.816460132598877,0.9471505880355835,0.11066883057355881,1.0622962713241577,0.4150950014591217,1.1970454454421997,-0.3484862744808197,-1.1657105684280396,0.2859809398651123,-1.3080331087112427,-1.3428651094436646,0.30835816264152527,-1.8525539636611938,1.2147670984268188
