step,time,base_pos_x,base_pos_y,base_pos_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,contact_force_LF_x,contact_force_LF_y,contact_force_LF_z,contact_force_LH_x,contact_force_LH_y,contact_force_LH_z,contact_force_RF_x,contact_force_RF_y,contact_force_RF_z,contact_force_RH_x,contact_force_RH_y,contact_force_RH_z
0,0.0,0.0001026540994644165,0.0006600014166906476,0.5990718603134155,0.999997615814209,0.0016651961486786604,-0.0002694497525226325,0.0014171941438689828,-0.028042566031217575,-0.005532510112971067,-0.018364254385232925,0.0036970684304833412,0.3847484886646271,-0.3883179724216461,0.36656734347343445,-0.35716167092323303,-0.7210472226142883,0.694930374622345,-0.4805517792701721,0.5446329712867737,-3.154439687728882,-1.097116231918335,-1.0398201942443848,0.9854968786239624,0.1449616402387619,-0.5694721341133118,-1.225110650062561,1.9222601652145386,-8.689608573913574,6.6539626121521,10.017070770263672,-3.002668857574463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.00078565813601017,0.0015911859227344394,0.5944888591766357,0.9999680519104004,0.006302771624177694,-0.00035924871917814016,0.0049059647135436535,-0.10540886968374252,-0.029797570779919624,-0.02815493755042553,0.02892451174557209,0.3777984082698822,-0.39214643836021423,0.3694840967655182,-0.3142682611942291,-0.6535519361495972,0.6557114720344543,-0.5123075246810913,0.5429266095161438,-2.803096294403076,-0.6506346464157104,0.6368789076805115,0.28159764409065247,-0.3129148483276367,0.15951356291770935,-0.4613684117794037,0.9882404208183289,9.617671966552734,-6.289305686950684,5.624776840209961,-1.6429105997085571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010893775470321998,0.0,810.7969970703125
2,0.04,0.003237687051296234,0.003323888871818781,0.5900486707687378,0.9999143481254578,-0.011769723147153854,0.003559346543624997,0.004504946526139975,-0.09426082670688629,-0.045610133558511734,0.010317784734070301,0.060408081859350204,0.40997231006622314,-0.38050463795661926,0.3747778534889221,-0.3207826316356659,-0.7191458940505981,0.6420320272445679,-0.5371614694595337,0.5432401895523071,1.4944772720336914,-1.795635461807251,2.0210416316986084,1.0821934938430786,2.4312000274658203,1.7185924053192139,0.8238285183906555,0.38468918204307556,-4.561511039733887,-5.253886699676514,-2.3189573287963867,-2.2524070739746094,3.6335473851067945e-05,0.0,270.43603515625,0.0,0.0,0.0,1.1236057844143943e-06,0.0,8.362722396850586,9.933389264915604e-06,0.0,73.93179321289062
3,0.06,0.006690932437777519,0.0050674863159656525,0.5864880084991455,0.9998767375946045,-0.014117291197180748,0.0064730350859463215,0.002337811514735222,-0.0905328169465065,-0.06798209249973297,0.017171068117022514,0.057441286742687225,0.43596136569976807,-0.35839271545410156,0.3970140218734741,-0.31787538528442383,-0.76382976770401,0.6490057706832886,-0.5829175114631653,0.53492671251297,-0.8999134302139282,-1.2000012397766113,-0.8445008397102356,-1.1263896226882935,0.9041986465454102,-0.9754235744476318,1.2370959520339966,-0.709929347038269,-1.6472554206848145,1.5860563516616821,-2.5973920822143555,1.2144346237182617,4.010683551314287e-05,0.0,298.5053405761719,6.398474215529859e-05,0.0,476.2228088378906,4.5078036237100605e-06,0.0,33.550479888916016,3.1606356060365215e-05,0.0,235.23838806152344
4,0.08,0.01087504904717207,0.006546946242451668,0.5842927694320679,0.9999465346336365,-0.0040457467548549175,0.009478004649281502,0.0009085666388273239,-0.11193656176328659,-0.0918600857257843,0.005539991892874241,0.03256288915872574,0.4497259557247162,-0.3593766689300537,0.4358353316783905,-0.31954365968704224,-0.7845802307128906,0.6504780650138855,-0.647448718547821,0.5395679473876953,-0.4965149760246277,-0.5625626444816589,0.5861850380897522,-0.6372998356819153,0.8389403223991394,0.21518725156784058,2.340864419937134,-0.2595406770706177,-1.1782077550888062,0.6584169864654541,-3.4724340438842773,0.6396414041519165,2.2870666725793853e-05,0.0,170.2207794189453,0.0,0.0,0.0,8.722501831925911e-08,0.0,0.6491945385932922,3.957546141464263e-05,0.0,294.55047607421875
5,0.1,0.01663144864141941,0.007566419430077076,0.5817227363586426,0.999905526638031,-0.007799386978149414,0.011328419670462608,-0.0002529066987335682,-0.10553034394979477,-0.08358969539403915,0.05305784195661545,0.036331579089164734,0.4766891896724701,-0.3552170991897583,0.49688711762428284,-0.30950838327407837,-0.8200916647911072,0.6612959504127502,-0.7253680229187012,0.5310274958610535,0.6380093693733215,0.6428545713424683,3.073212146759033,0.5189541578292847,1.357420802116394,0.23181481659412384,3.337827205657959,0.29808127880096436,-1.7351435422897339,-0.6492602825164795,-3.9109840393066406,-0.13371646404266357,2.1007726900279522e-05,0.0,156.35537719726562,0.0,0.0,0.0,0.0,0.0,0.0,4.22026205342263e-05,0.0,314.1037902832031
6,0.12,0.02357439324259758,0.00925472192466259,0.5787901282310486,0.9998628497123718,-0.010418470948934555,0.01278635486960411,-0.0014986040769144893,-0.102460578083992,-0.08428125083446503,0.10514570772647858,0.03627729415893555,0.5059241056442261,-0.35131362080574036,0.5686984658241272,-0.2988263666629791,-0.8538656234741211,0.6658569574356079,-0.8002952337265015,0.5271999835968018,-0.014863939955830574,-0.2064700722694397,2.3700716495513916,-0.33334171772003174,1.3290481567382812,0.2198864072561264,3.5616226196289062,0.10302397608757019,-1.4499390125274658,0.59380704164505,-3.572089433670044,1.075676679611206,2.4433506041532382e-05,0.0,181.8526153564453,5.200144187256228e-06,0.0,38.70340347290039,0.0,0.0,0.0,4.1244235035264865e-05,0.0,306.97076416015625
7,0.14,0.03149903938174248,0.011556664481759071,0.5758966207504272,0.9998443722724915,-0.009582078084349632,0.01456091832369566,-0.0027380497194826603,-0.10749314725399017,-0.09219446033239365,0.1468682736158371,0.028033563867211342,0.5346733927726746,-0.34249240159988403,0.6347772479057312,-0.2863369286060333,-0.8843293786048889,0.6708569526672363,-0.8609204888343811,0.5220395922660828,-0.24498961865901947,-0.3812425136566162,2.0530004501342773,-0.3383503556251526,1.4154268503189087,0.45642510056495667,3.0613369941711426,0.42685550451278687,-1.5231497287750244,0.1815025955438614,-2.704359769821167,-0.09048737585544586,2.3197926566354e-05,0.0,172.656494140625,1.2275536391825881e-05,0.0,91.36382293701172,1.7060597201634664e-07,0.0,1.2697786092758179,2.6335632355767302e-05,0.0,196.00967407226562
8,0.16,0.04022510349750519,0.01402343437075615,0.572686493396759,0.9998263120651245,-0.007440889719873667,0.01671195961534977,-0.0035881423391401768,-0.11624173820018768,-0.10240518301725388,0.17914780974388123,0.01737583801150322,0.5648802518844604,-0.33085447549819946,0.689919114112854,-0.27444934844970703,-0.9163255095481873,0.6713886857032776,-0.9120487570762634,0.5186255574226379,-0.503949761390686,-0.5446170568466187,1.410149335861206,-0.6246657967567444,1.5092172622680664,0.4930693209171295,2.487583875656128,0.3577274978160858,-1.6279892921447754,0.14438578486442566,-1.3704872131347656,0.4019867181777954,1.7527618183521554e-05,0.0,130.4537811279297,1.898373375297524e-05,0.0,141.29129028320312,1.042262056216714e-06,0.0,7.757300853729248,1.8697206542128697e-05,0.0,139.15872192382812
9,0.18,0.04974907636642456,0.016424015164375305,0.5687331557273865,0.9997915625572205,-0.004168417304754257,0.019615011289715767,-0.003877769224345684,-0.1283385455608368,-0.11379311233758926,0.18734705448150635,0.006357386242598295,0.5977621674537659,-0.317338764667511,0.7312647700309753,-0.264609158039093,-0.9535900354385376,0.6676431894302368,-0.9560611844062805,0.5202493071556091,-0.6892724633216858,-0.5989307761192322,-0.5765148401260376,-0.5805156826972961,1.658271312713623,0.4674595296382904,1.627626895904541,0.4283069670200348,-1.9601924419403076,0.08839216828346252,-1.8985061645507812,0.7878922820091248,1.0306495823897421e-05,0.0,76.70872497558594,3.128528260276653e-05,0.0,232.84869384765625,1.1660894415399525e-05,0.0,86.78919219970703,6.059320185158867e-06,0.0,45.09803771972656
