step,time,base_pos_x,base_pos_y,base_pos_z,base_quat_w,base_quat_x,base_quat_y,base_quat_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,contact_force_LF_x,contact_force_LF_y,contact_force_LF_z,contact_force_RF_x,contact_force_RF_y,contact_force_RF_z,contact_force_LH_x,contact_force_LH_y,contact_force_LH_z,contact_force_RH_x,contact_force_RH_y,contact_force_RH_z
0,0.0,0.004077682713951523,-0.0006997087916849456,0.5988932262276049,0.9999895994039975,-0.003029749517839892,-0.0033034154920460897,-0.000842109125293903,-0.015600085698598571,0.46361878902085474,-0.7607023375042837,0.04859434304372647,0.46153498054622283,-0.6931089560734427,-0.001850196985897517,-0.3298035414171672,0.5064091102148583,0.021928595104749208,-0.3598323068765719,0.7437376910186638,-1.289264849376373,5.032259352053975,2.3599977243215453,3.873521078519223,4.937696494326566,6.3074991622372805,-0.445828304322142,5.0392768930538505,-16.890431048702368,1.7090874312880617,3.0118719655659936,-3.1563128356688788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.008623704267420065,-0.0011707681929180344,0.5952571658209656,0.9999067098292167,-0.013016107304249907,-0.003714550412554604,-0.0018315852117056833,-0.02671840726891413,0.5222434273754284,-0.6800119975724506,0.1354074268869459,0.5309194196460705,-0.8251161020773466,-0.028303648441614763,-0.3123584136597306,0.6176299510370054,0.05799349911817954,-0.26216642793734773,0.2397544873179372,0.27802092051213745,1.5916748443870266,3.526724539633115,4.67934944168353,1.8272600809495092,-10.111243498207582,-1.560985546341667,-1.3163595359351705,13.420566790813574,1.747684951907215,3.0879605319524384,-16.93387983589165,0.0,0.0,0.0,0.0,0.0,0.0,-15.923137428667259,6.7009956890748335,-21.614466671844305,-258.7923817950693,151.289675949944,-1252.424683220801
2,0.04,0.01045106928471676,0.0006325078919355965,0.5906940284391863,0.9996011080633752,-0.027615304029832803,0.0014802459918792008,-0.005729625957831198,-0.06577676811919106,0.5794548921338141,-0.8041246490800251,0.21769393432082867,0.5473259184439196,-0.7856767605953843,-0.08080014608485259,-0.3296503408480021,0.8482154377528883,0.07915442811576975,-0.3556176382053758,0.28829021141825484,-3.3668723553278532,3.289799245989956,-8.407716980095998,3.6084233229135436,0.5449354682239476,6.58829175801379,-3.1766292393811875,-0.33160907441060117,7.494738773804407,0.6495460699801527,-8.195136197573017,11.639258539346399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-173.07026392250162,4.475360482473711,-218.28301553365154
3,0.06,0.012374310764408954,0.004615327876848961,0.5827339985990202,0.9996059482992223,-0.026047108613297936,0.004979386460846524,-0.009203367219334327,-0.1778222066458731,0.6355002154265653,-0.797832116941203,0.2379342940642906,0.5682627288472767,-0.7451268118461826,-0.16322843803489684,-0.2986575046464254,0.7491285891502262,0.07164840585196366,-0.5654990709056916,0.728308200917457,-5.83574712601014,2.6331038874560106,0.1538085955024182,-0.2387648196064377,1.3921447392028632,-0.5204552145286503,-4.270883906294319,2.408276740413206,-8.901495372713782,-0.4323021898349517,-10.323025484112922,24.79079551199596,-12.44090900785043,96.93377374367022,-122.19777630227918,1.3958613935469204,-3.840714222511361,-5.192463854968373,0.0,0.0,0.0,0.0,0.0,0.0
4,0.08,0.01422444019307249,0.008627724637254185,0.570657781643153,0.9998088079452779,-0.01600638355022097,0.005743403990120907,-0.00965176415443815,-0.23319814450687265,0.6648920319068231,-0.8156482533123866,0.2147219099054871,0.62779408608906,-1.1751253835915003,-0.2662795817764197,-0.3098542489461529,1.081392958731021,0.057468321424356504,-0.730106335345398,0.9738147604438201,-2.156090303401978,1.8772186860910378,-2.044997221858341,-2.1046000034150296,2.589057205359329,-25.467990061386786,-5.4740395395547345,-1.3966806193468981,22.62003924761284,-1.1685813248603143,-6.689060345735526,3.5737051800910145,25.26044269393028,-19.920482177645056,-459.7383316855861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,0.016579326432757543,0.012052471387871216,0.5595480818600942,0.9999418884640277,-0.007625278448185448,0.0015434162106360977,-0.007462753512162197,-0.26521126252192595,0.7153179850646219,-0.8753570413894092,0.1554038541249468,0.6471567737826862,-1.3224495433266292,-0.3463494097472316,-0.3240655545809404,1.281634070717632,0.0592983073684715,-0.7900889856998823,0.8565591987303708,-1.2573518726164319,2.454961134644489,-2.832242818905437,-3.2792189895148662,0.18318506172237875,2.2359473887212067,-2.9276462528290157,-0.41278648983320393,2.0124168232944655,1.033324395585856,-0.9732028040675109,-8.326374915640919,-7.296954695304862,-11.810227885690823,-311.79013621645703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.12,0.022052451328768707,0.014739731912341833,0.5496221627403342,0.9999582379096592,-0.004870190847987322,-0.005569668733816204,-0.005364929441287217,-0.28262613486732774,0.772000839565044,-0.928864742085019,0.12426661517230718,0.6720498518427556,-1.1342154605664136,-0.37873442323565676,-0.2857972992581512,0.713062880526604,0.04869995333500174,-0.7251022292904099,0.6107151545767688,-0.3808504809917632,2.814284580869582,-2.395410094741239,-0.07971685019603703,1.7848896365392393,10.032612349673323,-0.7106651942745461,1.9140284827070875,-23.723368071468617,-0.34024855697856865,3.4372272620778,-8.119815978675744,-54.444636497384,-34.305370650388824,-80.55835084941964,0.0,0.0,0.0,-190.8225841446794,164.14419059873936,-457.9062332944426,-97.51115708817005,151.7870115570208,-651.7582258783199
7,0.14,0.02486856252093919,0.0185605509178969,0.5443566726121707,0.9998583632142819,-0.015076860070324787,-0.004767434072283108,-0.005763104479691283,-0.2706989491114605,0.7858005034299259,-0.9487203799155932,0.11541868751072809,0.6540502493086037,-0.8693418515887203,-0.3863415139126263,-0.36981636339072554,0.7117064349390937,0.05922997227546026,-0.7445123772042519,0.5999543833433318,0.9432570994231193,0.2786642750249372,-0.8751749591970032,-0.4600477516712673,-1.8691390731926882,10.508183197927654,-0.2837549000733759,-6.319680118436934,7.732561767414744,0.8889364252077686,-1.812017876671912,1.3640234602780912,88.13412282306761,-5.734182915786756,-369.472706786507,-4.038717880187029,4.361372848298489,-7.43876661044654,7.495026305290664,4.74526670433875,-16.681031218053484,34.44348985476409,179.30867238273555,-624.392412348156
8,0.16,0.027653933005245573,0.023242418356375572,0.5402964562898162,0.999718323290941,-0.02222666348772646,-0.0059555478822952874,-0.0058121386747568456,-0.2681304838391325,0.8126424810456405,-0.9780729562494987,0.12214951037310161,0.6760545685094325,-1.0439360688971728,-0.39586121531849494,-0.5063439534894897,1.0707372079591575,0.06359660366980267,-0.782710696898733,0.6637537372655503,-0.2969144870450924,1.6304634894287966,-1.374218464585149,0.6398379403808518,2.0723486631640893,-15.472832830934653,-0.08279641397797449,-6.116997096127143,17.4451897143931,-0.21233108843495313,-1.5302367891958588,3.6522979376642994,-78.82384399514996,58.33156207418869,-255.1518118278761,0.0,0.0,0.0,0.0,0.0,0.0,-84.23254531684631,95.45474764615673,-161.47505818518798
9,0.18,0.031729377747991026,0.027301981144707166,0.5364599691997948,0.999447052677919,-0.030664652767153362,-0.012126943699943145,-0.004266755276476096,-0.2630384569086864,0.8413321927508434,-0.9944469414901332,0.14388079504028523,0.7043696063628805,-1.25180361350198,-0.3568316986867572,-0.6037875378762136,1.2309819046629877,0.07341605637964932,-0.7878222450208159,0.7108350971813404,0.5606613948773473,1.204120139448648,-0.3154173794769858,1.1294037771244303,0.8853877835665218,-5.420937729219318,3.1951310694760666,-4.026139197317128,1.6065231831236009,0.8175524325185738,0.3971901248360208,1.6129733996718707,32.72002573667372,2.621302453833997,-221.41880423367223,0.0,0.0,0.0,0.0,0.0,0.0,-29.451961457338957,28.380672996629375,-159.2989479103344
